Components,File
OSS,old/test.h,1
OSS,mk/env_post.mk,16
OSS,old/test.h,126
OSS,include/tst_test.h,23
OSS,old/test.h,3
Third Party,host/spi-protocol-linux.c,2
Third Party,spi/spi-host-ui.c,3
Third Party,cli/network-cli.c,1
Third Party,gateway/backchannel-support.c,3
Third Party,device-database/device-database-cli.c,2
Third Party,reporting/reporting-cli.c,2
Third Party,ss1btle/L2CAP.c,1
Third Party,ss1btps/L2CAP.c,1
Third Party,ss1btps/L2CAP_ERTM.c,1
OSS,old/test.h,1
OSS,include/tst_test.h,1
OSS,include/tst_test.h,1
WIN CoreBSP,arch-qca-common/iomap.h,10
WIN CoreBSP,arch-qca-common/scm.h,16
OSS,./armemu.c,6
OSS,./ldlang.h,1
OSS,librpc-2015-11-04/clnt_raw.c,1
OSS,librpc-2015-11-04/clnt_tcp.c,3
OSS,librpc-2015-11-04/clnt_udp.c,2
OSS,librpc-2015-11-04/clnt_unix.c,2
OSS,librpc-2015-11-04/rexec.c,1
OSS,librpc-2015-11-04/ruserpass.c,1
OSS,librpc-2015-11-04/svc.c,1
OSS,librpc-2015-11-04/svc_tcp.c,1
OSS,librpc-2015-11-04/svc_udp.c,1
OSS,testlib/sctputil.h,164
OSS,lxc/lxccontainer.h,4
OSS,include/limits,2
OSS,cp/error.c,34
OSS,gcc/diagnostic.c,36
OSS,gcc/gcc.c,18
OSS,gcc/genhooks.c,12
OSS,gcc/langhooks.c,24
OSS,gcc/lto-wrapper.c,3
OSS,lto/lto.c,9
OSS,libcpp/expr.c,12
OSS,libcpp/macro.c,12
OSS,arm/fp16.c,15
OSS,libgcc/unwind-arm-common.inc,4
OSS,libssp/gets-chk.c,3
OSS,sys/errno.h,19
OSS,sys/fcntl.h,5
OSS,sys/poll.h,117
OSS,sys/signal.h,71
OSS,ipq/modules.mk,112
OSS,ipq806x/modules.mk,112
OSS,amrnb/Makefile.am,152
OSS,amrwb/Makefile.am,39
OSS,applets/applet_tables.c,1
OSS,applets/usage.c,1
OSS,applets/usage_pod.c,1
WIN CoreBSP,armv7/cache_v7.c,4
WIN CoreBSP,common/scm.c,6
WIN CoreBSP,lib/cache-cp15.c,2
WIN CoreBSP,common/board_init.c,8
WIN CoreBSP,common/cmd_bootqca.c,12
WIN CoreBSP,common/cmd_runmulticore.c,4
WIN CoreBSP,common/cmd_sec_auth.c,4
WIN CoreBSP,common/fdt_fixup.c,12
WIN CoreBSP,ipq806x/ipq806x.c,48
OSS,qdisc/nsspfifo.c,2
WIN Wifi Host,cmd/Makefile.am,1
OSS,coreutils/stat.c,1
OSS,cxx/Makefile.am,2
OSS,calc/Makefile.am,2
OSS,expr/Makefile.am,2
OSS,demos/Makefile.am,2
WIN CoreBSP,i2c/qup_i2c.c,1
WIN CoreBSP,mmc/mmc.c,4
WIN CoreBSP,nand/ipq_nand.c,18
WIN CoreBSP,spi/spi_flash.c,4
WIN Ath10K,wil6210/cfg80211.c,1
WIN CoreBSP,serial/qca_uart.c,8
WIN CoreBSP,spi/ipq_spi.c,2
OSS,examples/Makefile.am,2
OSS,linux/stddef.h,2
WIN CoreBSP,include/spi_flash.h,4
OSS,ipq/ipq_gmac_eth.c,1
WIN CoreBSP,lib/fdtdec.c,2
OSS,lib/Makefile.am,15
WIN CoreBSP,lib/string.c,2
OSS,libmisc/Makefile.am,1
OSS,libspeex/Makefile.am,1
OSS,login-utils/last.c,1
OSS,login-utils/lslogins.c,2
OSS,m_debuginfo/debuginfo.c,1
OSS,../generate_mans.mak,1
OSS,../generate_translations.mak,3
OSS,../generate_mans.mak,1
OSS,../generate_translations.mak,3
OSS,../generate_mans.mak,1
OSS,../generate_translations.mak,3
OSS,man/generate_mans.mak,1
OSS,../generate_mans.mak,1
OSS,../generate_translations.mak,3
OSS,man/Makefile.am,1
OSS,../generate_mans.mak,1
OSS,../generate_translations.mak,3
OSS,../generate_mans.mak,1
OSS,../generate_translations.mak,3
OSS,../generate_mans.mak,1
OSS,../generate_translations.mak,3
OSS,../generate_mans.mak,1
OSS,../generate_translations.mak,3
OSS,miscutils/lock.c,1
OSS,mpf/Makefile.am,2
OSS,mpn/Makefile.am,2
OSS,mpq/Makefile.am,2
OSS,mpz/Makefile.am,2
WIN Ath10K,wireless/chan.c,4
WIN Ath10K,wireless/core.c,2
WIN Ath10K,wireless/nl80211.c,3
WIN Ath10K,wireless/util.c,2
OSS,networking/inetd.c,1
OSS,networking/netmsg.c,2
Third Party,physical/PhysicalDevice.c,3
OSS,printf/Makefile.am,2
OSS,procps/top.c,62
OSS,rand/Makefile.am,2
OSS,qdisc/nssbf.c,1
OSS,qdisc/nsshtb.c,1
OSS,scanf/Makefile.am,2
OSS,basic/split-include.c,1
WIN CoreBSP,kconfig/conf.c,2
WIN CoreBSP,kconfig/mconf.c,2
DATA LNX,src/ds_list.c,1
DATA LNX,src/ds_sl_list.c,1
DATA LNX,src/ds_util.c,3
WIN CoreBSP,src/Makefile.am,3
OSS,src/opus_decoder.c,1
OSS,src/opus_multistream_encoder.c,2
WIN SSDK,shell/shell.c,1
OSS,stdio/fputc.c,1
PROP,src/ts_linux.c,2
OSS,sys-utils/hwclock.h,4
WIN CoreBSP,test/Makefile.am,4
OSS,cxx/Makefile.am,2
OSS,devel/Makefile.am,2
WIN CoreBSP,tests/Makefile.am,3
OSS,misc/Makefile.am,2
OSS,mpf/Makefile.am,2
OSS,mpn/Makefile.am,2
OSS,mpq/Makefile.am,2
OSS,mpz/Makefile.am,2
OSS,rand/Makefile.am,2
OSS,tools/sysupgrade.c,6
OSS,tune/Makefile.am,2
OSS,vq/Makefile.am,1
